,aut_group_size,aut_group_size_exp,density,m,modularity,n,name,num_generators,num_orbits
0,6.96503009459,1812,1.49227144707e-06,1549970,0.993807478775,1441295,inf-belgium_osm.mtx,5986,1428034
1,1.92,2,0.0279069767442,4368,0.32643490705,560,EX2.mtx,4,8
2,1.0,0,0.868567841449,387416,0.00672398699094,945,frb45-21-2.mtx,0,945
3,1.0,0,0.883433784125,714129,0.00537334873707,1272,frb53-24-1.mtx,0,1272
4,3.03264,5,0.990147783251,70551,0.00110733791115,378,MANN-a27.mtx,6,2
5,2.35751312098,19475,0.000105539203713,85123,0.679029873882,40164,tech-internet-as.mtx,19476,20594
6,1.0,0,0.497559779277,121728,0.022110111805,700,p-hat700-2.mtx,0,700
7,1.0,0,0.64969649562,207643,0.0171121882714,800,brock800-4.mtx,0,800
8,1.0,0,0.744236236236,371746,0.011129371116,1000,p-hat1000-3.mtx,0,1000
9,1.0,0,0.891980088637,1048800,0.00478540722787,1534,frb59-26-4.mtx,0,1534
10,1.9063182799,139,0.16256281407,3235,0.604334307194,200,c-fat200-2.mtx,182,9
11,4.49629262823,1251,0.000426403038902,24316,0.877946730458,10680,tech-arenas-pgp.edges,2586,7944
12,1.0,0,0.00124336816066,6112,0.875143830222,3136,grid2_dual.mtx,0,3136
13,5.89824,5,0.00433447843779,482215,0.411054522502,14917,socfb-UCSB37.mtx,17,14900
14,1.0,0,0.856934331877,247157,0.00762815503492,760,frb40-19-2.mtx,0,760
15,1.0,0,0.496281407035,9876,0.0465687649576,200,brock200-2.mtx,0,200
16,1.0,0,0.000340178516138,48232,0.83558973788,16840,cti.mtx,0,16840
17,1.0,0,0.06,19176,0.0978593255954,800,G1.mtx,0,800
18,1.0,0,0.823865379856,83231,0.010972229193,450,frb30-15-5.mtx,0,450
19,1.0,0,0.000731646920019,24547,0.89570726539,8192,delaunay_n13.mtx,0,8192
20,1.0,0,0.747882205514,59681,0.0175164424798,400,brock400-3.mtx,0,400
21,2.0,0,0.00043907155267,7852,0.917784046571,5981,ukerbe1.mtx,1,3013
22,1.0,0,0.0600961538462,125,0.581344,65,GD96_c.mtx,0,65
23,1.0,0,0.744481605351,33390,0.0197768954502,300,p-hat300-3.mtx,0,300
24,5.185072754,152,0.000540302697335,6594,0.933958422511,4941,USpowerGrid.mtx,414,4466
25,1.0,0,0.696884422111,13868,0.0301377526198,200,sanr200-0-7.mtx,0,200
26,3.84,2,0.649122807018,9435,0.0511658801793,171,keller4.mtx,4,9
27,1.0,0,0.898451612903,6963,0.0147056509212,125,C125-9.mtx,0,125
28,4.32,2,0.927272727273,918,0.0108641737983,45,MANN-a9.mtx,4,2
29,1.2,4,0.00133377792598,6000,0.844645111111,3000,G49.mtx,4,1
30,1.0,0,0.01,19990,0.160839785826,2000,G24.mtx,0,2000
31,1.0,0,0.253433844785,284923,0.0283673017135,1500,p-hat1500-1.mtx,0,1500
32,4.0,0,0.0840824960338,159,0.527728333531,62,soc-dolphins.mtx,2,60
33,1.0,0,0.0220307940753,97133,0.364945922816,2970,socfb-Smith60.mtx,0,2970
34,4.33458534058,12764,0.000871055593045,1311227,0.882050360582,54870,sc-nasasrb.mtx,29953,24917
35,1.0,0,0.9,17910,0.0113357328862,200,gen200-p0-9-44.mtx,0,200
36,1.0,0,1.144381531e-05,1572823,0.969919396167,524288,delaunay_n19.mtx,0,524288
37,1.0,0,0.501501501502,250500,0.357699305668,1000,san1000.mtx,0,1000
38,4.0,0,3.81469544663e-06,2097149,0.797707426736,1048576,debr.mtx,2,262656
39,1.0,0,0.00292300851856,6127,0.842844546432,2048,delaunay_n11.mtx,0,2048
40,1.572864,6,0.0114055753209,249959,0.395080634526,6621,socfb-CMU.mtx,20,6601
41,1.0,0,0.000102698782963,1074393,0.888001072846,144649,144.mtx,0,144649
42,1.0,0,0.651332916145,208166,0.017023887258,800,brock800-2.mtx,0,800
43,1.0,0,0.657738693467,13089,0.0314934917173,200,brock200-4.mtx,0,200
44,1.032192,7,0.96862745098,31616,0.00680875585147,256,hamming8-2.mtx,9,1
45,1.0,0,0.00126226692089,75488,0.787245468958,10937,wing_nodal.mtx,0,10937
46,3.145728,6,0.00408653564379,604867,0.383882599244,17206,socfb-UConn.mtx,21,17184
47,3.84,3,0.751546391753,225990,0.0387226541727,776,keller5.mtx,5,14
48,1.0,0,0.02,9990,0.165526502478,1000,G44.mtx,0,1000
49,1.0,0,0.00589194597299,11778,0.378100544398,2000,G35.mtx,0,2000
50,4.0,0,0.00125024404507,4092,0.928165900085,2559,diag.mtx,2,769
51,2.0,0,0.00203328074849,3538,0.885436875132,1866,ukerbe1_dual.mtx,1,933
52,1.0,0,0.00589544772386,11785,0.378576838704,2000,G37.mtx,0,2000
53,1.0,0,0.749197994987,59786,0.0182304247016,400,brock400-2.mtx,0,400
54,1.75099953512,19,0.00846808029067,568309,0.374166036855,11586,socfb-Stanford3.mtx,59,11527
55,1.528823808,9,0.0085002136359,5451,0.542997686465,1133,email.mtx,27,1106
56,6.15620260088,482,0.000935752668811,25569,0.419621101159,7393,bio-dmela.mtx,1051,6326
57,1.0,0,0.841943241943,148784,0.00891537095817,595,frb35-17-3.mtx,0,595
58,6.4,1,0.027027027027,168,0.5234375,112,GD98_c.mtx,3,6
59,1.0,0,0.501052631579,39984,0.03235084206,400,sanr400-0-5.mtx,0,400
60,1.0,0,0.00169244585961,41459,0.38546478688,7000,G63.mtx,0,7000
61,4.8,2,0.139037433155,78,0.418803418803,34,soc-karate.mtx,6,27
62,1.0,0,0.0118438438438,5916,0.369127470181,1000,G52.mtx,0,1000
63,1.0,0,4.57720597877e-05,393176,0.954507853775,131072,delaunay_n17.mtx,0,131072
64,1.1385650046,215312,6.12710499734e-05,1817934,0.308042497177,243600,flickr-links.edges,121571,122024
65,1.0,0,0.00123212688698,13722,0.888560337606,4720,3elt.mtx,0,4720
66,1.6777216,7,0.00294402782723,835946,0.385662485189,23831,socfb-Wisconsin87.mtx,24,23807
67,1.32367215422,17086,4.91788092925e-05,950327,0.688517931483,196591,soc-gowalla.mtx,20952,174824
68,1.0,0,0.842446877741,148873,0.00929752024645,595,frb35-17-4.mtx,0,595
69,1.0,0,0.000161032213225,46414,0.936479465168,24010,stufe-10.mtx,0,24010
70,6.42648324065,12494,1.65138340365e-05,925872,0.917798761216,334863,com-amazon.edges,32098,302387
71,3.68680710835,454,0.000406564441352,816886,0.606411906913,63392,socfb-OR.mtx,1257,62126
72,1.0,0,0.00589244622311,11779,0.376502031524,2000,G38.mtx,0,2000
73,1.0,0,0.01,19990,0.159964064073,2000,G26.mtx,0,2000
74,3.84,2,0.0127209176474,266378,0.386785607567,6472,socfb-William77.mtx,8,6464
75,8.192,3,5.76454870365e-05,69632,0.879783680695,49152,cca.mtx,12,6
76,1.0,0,0.06,19176,0.0976893656421,800,G2.mtx,0,800
77,2.26049483088,35904,0.000103448557515,54397,0.719873656731,32430,ia-email-EU.mtx,26170,6259
78,1.0,0,0.9,71820,0.0125199769784,400,gen400-p0-9-65.mtx,0,400
79,1.0,0,0.9,17910,0.0351796188586,200,san200-0-9-2.mtx,0,200
80,8.0,0,0.047619047619,166,0.543946871825,84,GD97_a.mtx,2,12
81,1.0,0,0.748048232168,183010,0.0131682416441,700,p-hat700-3.mtx,0,700
82,4.74758311204,31831,3.15102975071e-05,814134,0.890568799018,227320,ca-citeseer.mtx,70023,155592
83,3.59809637711,21574,0.000531098605391,2093195,0.303444975593,88784,soc-BlogCatalog.mtx,19200,69581
84,1.0,0,0.823499133878,83194,0.0114609298695,450,frb30-15-4.mtx,0,450
85,6.21406232979,369,0.0732585170341,9139,0.732490545737,500,c-fat500-2.mtx,460,20
86,9.58081898798,86794,2.72676656404e-05,327162,0.58473296395,154908,soc-douban.mtx,95398,59493
87,6.16013897972,245,0.0357434869739,4459,0.805462553063,500,c-fat500-1.mtx,420,40
88,1.0,0,0.0145838548185,4661,0.364515249561,800,G15.mtx,0,800
89,1.0,0,0.01,19990,0.162006803802,2000,G25.mtx,0,2000
90,4.25246164766,41956,8.50319118484e-05,360767,0.386697374933,92117,ia-wiki-Talk.mtx,41064,50952
91,1.0,0,0.00620216625619,1171,0.796276511569,615,netz4504_dual.mtx,0,615
92,1.0,0,0.9,71820,0.0147005624577,400,gen400-p0-9-75.mtx,0,400
93,1.0,0,0.000186896911686,366559,0.897458113071,62631,brack2.mtx,0,62631
94,1.86826969196,202501,1.57466804785e-05,3214986,0.364847329414,639014,soc-FourSquare.mtx,274567,364447
95,1.0,0,0.878858742952,580640,0.00580049722348,1150,frb50-23-5.mtx,0,1150
96,1.0,0,0.00690349489429,147840,0.328206104869,6545,EX6.mtx,0,6545
97,1.0,0,0.0807692307692,441,0.512438233041,105,polbooks.mtx,0,105
98,1.0,0,0.500158539635,4000268,0.0105011902297,4000,C4000-5.mtx,0,4000
99,2.0,0,0.00371503996751,15093,0.850749277271,2851,data.mtx,1,2850
100,1.0,0,0.867307864765,386854,0.00667838909136,945,frb45-21-1.mtx,0,945
101,1.0,0,0.9,71820,0.0439655246753,400,san400-0-9-1.mtx,0,400
102,2.0,0,0.0106194690265,35880,0.318622733216,2600,EX4.mtx,1,1340
103,2.0,0,0.0683719433719,425,0.290195155709,112,fs-adjnoun_adj_copperfield.edges,1,111
104,1.0,0,0.892770181602,1049729,0.00468564741753,1534,frb59-26-3.mtx,0,1534
105,1.0,0,0.7,55860,0.168168037703,400,san400-0-7-2.mtx,0,400
106,1.0,0,0.897638190955,17863,0.0123926667733,200,sanr200-0-9.mtx,0,200
107,1.0,0,0.649264705882,207505,0.0171639497373,800,brock800-1.mtx,0,800
108,1.0,0,4.96814363974e-05,89440,0.951254352015,60005,t60k.mtx,0,60005
109,1.0,0,0.00583455522972,3056,0.806560585476,1024,delaunay_n10.mtx,0,1024
110,7.44761059771,46073,4.5365923089e-05,334419,0.99056663293,121422,web-sk-2005.mtx,53107,34124
111,1.0,0,0.0146871088861,4694,0.36443760349,800,G14.mtx,0,800
112,1.0,0,0.89270129298,1049648,0.00481045617748,1534,frb59-26-2.mtx,0,1534
113,1.0,0,0.892855229284,1049829,0.00472419005488,1534,frb59-26-5.mtx,0,1534
114,1.0,0,2.28872231637e-05,786396,0.963033733117,262144,delaunay_n18.mtx,0,262144
115,1.0,0,0.883435021204,714130,0.005366663324,1272,frb53-24-5.mtx,0,1272
116,1.0,0,3.98165074433e-05,409593,0.907245148019,143437,fe-ocean.mtx,0,143437
117,1.1145092131,5060,0.000132294485797,212945,0.668662883448,56739,soc-brightkite.mtx,9531,47024
118,9.8304,4,6.10363980387e-05,73728,0.783590166933,49152,ccc.mtx,4,1
