,Download Path,Graph Name,K,Filesize,avg_num_triangles,max_num_triangles,Type,avg_degree,max_degree,Assort. Coeff.,|E|,num_triangles,|V|,global_clustering_coeff,avg_global_clustering_coeff,omega
0,http://nrvis.com/./download/data/bhoslib/frb100-40.zip,frb100-40,4K,17 MB,640M,7M,bhoslib,4K,4K,-0.01,7M,26B,4K,0.93,0.93,73
1,http://nrvis.com/./download/data/bhoslib/frb30-15-1.zip,frb30-15-1,340,180 KB,56K,67K,bhoslib,369,407,-0.03,83K,25M,450,0.82,0.82,24
2,http://nrvis.com/./download/data/bhoslib/frb30-15-2.zip,frb30-15-2,338,178 KB,56K,67K,bhoslib,369,404,-0.02,83K,25M,450,0.82,0.82,24
3,http://nrvis.com/./download/data/bhoslib/frb30-15-3.zip,frb30-15-3,337,180 KB,56K,65K,bhoslib,369,400,-0.03,83K,25M,450,0.82,0.82,25
4,http://nrvis.com/./download/data/bhoslib/frb30-15-4.zip,frb30-15-4,340,178 KB,56K,66K,bhoslib,369,401,-0.03,83K,25M,450,0.82,0.82,25
5,http://nrvis.com/./download/data/bhoslib/frb30-15-5.zip,frb30-15-5,333,178 KB,56K,66K,bhoslib,369,403,-0.05,83K,25M,450,0.82,0.82,26
6,http://nrvis.com/./download/data/bhoslib/frb35-17-1.zip,frb35-17-1,463,312 KB,105K,124K,bhoslib,500,544,-0.04,149K,63M,595,0.84,0.84,29
7,http://nrvis.com/./download/data/bhoslib/frb35-17-2.zip,frb35-17-2,465,312 KB,105K,122K,bhoslib,500,541,-0.03,149K,63M,595,0.84,0.84,29
8,http://nrvis.com/./download/data/bhoslib/frb35-17-3.zip,frb35-17-3,451,315 KB,105K,126K,bhoslib,500,549,-0.04,149K,63M,595,0.84,0.84,29
9,http://nrvis.com/./download/data/bhoslib/frb35-17-4.zip,frb35-17-4,456,312 KB,105K,131K,bhoslib,500,560,-0.04,149K,63M,595,0.84,0.84,30
10,http://nrvis.com/./download/data/bhoslib/frb35-17-5.zip,frb35-17-5,461,310 KB,105K,126K,bhoslib,499,550,-0.02,149K,62M,595,0.84,0.84,28
11,http://nrvis.com/./download/data/bhoslib/frb40-19-1.zip,frb40-19-1,595,518 KB,181K,211K,bhoslib,650,703,-0.03,247K,138M,760,0.86,0.86,33
12,http://nrvis.com/./download/data/bhoslib/frb40-19-2.zip,frb40-19-2,598,523 KB,181K,210K,bhoslib,650,702,-0.03,247K,138M,760,0.86,0.86,34
13,http://nrvis.com/./download/data/bhoslib/frb40-19-3.zip,frb40-19-3,613,520 KB,181K,210K,bhoslib,650,702,-0.02,247K,138M,760,0.86,0.86,33
14,http://nrvis.com/./download/data/bhoslib/frb40-19-4.zip,frb40-19-4,600,519 KB,180K,204K,bhoslib,649,692,-0.03,247K,137M,760,0.85,0.85,33
15,http://nrvis.com/./download/data/bhoslib/frb40-19-5.zip,frb40-19-5,596,520 KB,180K,204K,bhoslib,649,691,-0.03,247K,137M,760,0.85,0.85,32
16,http://nrvis.com/./download/data/bhoslib/frb45-21-1.zip,frb45-21-1,769,806 KB,290K,332K,bhoslib,818,876,-0.02,387K,274M,945,0.87,0.87,36
